City,Country,Country Code,Course Name,Cuisine Name,Customer First Name,Customer ID,Customer Last Name,Customer Name,Delivery Date,Desert Name,Drink,Order Date,Order ID,Postal Code,Row Number,Sides,Starter Name,Cost,Delivery Cost,Discount,Profit,Quantity,Sales
Shawnee Mission,United States,US,Kabasa,Greek,Sterne,37-013-0292,Salterne,Sterne Salterne,3/30/2021,Turkish yoghurt,Ankara White Wine,8/21/2022,69-607-3610,993-0039,137,Meatballs,Tomato bread,190,37.78,99.24,95,2,285
Provo,United States,US,Pizza,Greek,Mady,46-957-2549,McMennum,Mady McMennum,10/7/2021,Cheesecake,Italian Coffee,8/13/2020,56-076-6137,359 01,141,Bruschetta,Flatbread,144.09,51.72,10,72.045,2,216.135
Reno,United States,US,Pizza,Italian,Merwin,52-934-7220,Pikhno,Merwin Pikhno,12/19/2019,Cheesecake,Italian Coffee,2/27/2022,06-887-6332,3810-771,195,Bruschetta,Falafel,125,14.8,9.71,62.5,3,187.5
Sacramento,United States,US,Pizza,Italian,Aime,93-077-9628,Ferry,Aime Ferry,10/23/2022,Cheesecake,Italian Coffee,7/14/2021,04-904-4552,-6.44962e+06,255,Bruschetta,Flatbread,91.84,2.73,17.4,45.92,2,137.76
Allentown,United States,US,Carbonara,Italian,Merlina,81-155-1642,Lermit,Merlina Lermit,4/20/2022,Affogato,Roma Red wine,7/27/2019,60-081-1759,17062310,262,Focaccia,Minestrone,235,37.47,30,117.5,1,352.5
Inglewood,United States,US,Shwarma,Turkish,Schuyler,44-371-9315,Walewski,Schuyler Walewski,10/22/2019,Baklava,Turkish Coffee,6/5/2020,12-718-1501,3810-780,348,Fries,Hummus,119.8,12.22,17.4,59.9,3,179.7
Phoenix,United States,US,Greek salad,Greek,Ariadne,16-794-2589,Copeland,Ariadne Copeland,3/4/2021,Greek yoghurt,Athens White wine,11/5/2019,99-748-0471,692789,349,Tapas,Olives,125,48.03,91.41,62.5,2,187.5
Charlotte,United States,US,Bean soup,Italian,Tamma,75-496-8007,Clink,Tamma Clink,3/23/2021,Ice cream,Corfu Red Wine,12/18/2019,84-864-3249,649-6346,350,Potato salad,Flatbread,235,40.77,9.71,117.5,1,352.5
Hamilton,United States,US,Greek salad,Greek,Susette,01-169-3967,O'Neil,Susette O'Neil,11/15/2020,Greek yoghurt,Athens White wine,12/9/2019,10-370-7784,25272785,397,Tapas,Falafel,320,81.05,31.2,160,2,480
Lubbock,United States,US,Kabasa,Greek,Aldrich,30-481-3036,Phythien,Aldrich Phythien,3/1/2021,Turkish yoghurt,Ankara White Wine,4/26/2021,87-435-5817,33649,521,Meatballs,Flatbread,52.08,38.29,31.2,26.04,2,78.12
